id;seen_during;type;sex;status;bird_location;southing;easting;comments;color_combo_l;color_combo_r;bird_irn
1;MAINTENANCE;ONE_OF_BREEDING_PAIR;FLEDGLING;ASSUMED_DEAD;IN_BOX_CAVITY_WHEN_ACCESSING;Product;next generation Cheese Chair;cross-platform Manager;Licensed redundant;synthesizing Borders Borders;Oklahoma
2;FLEDGE_CHECK;ONE_OF_BREEDING_PAIR;MALE;MISSING;WITHIN_50M_OF_SITE;Naira;neutral Court AI;extensible;Gateway Metrics Handmade;THX Group synthesize;grey
3;FLEDGE_CHECK;UNKNOWN;FEMALE;ASSUMED_DEAD;IN_BOX_CAVITY_THEN_LEFT;Frozen;Human SCSI Leone;Tasty Plastic Shirt;Soft Synergized;Unbranded Devolved;Buckinghamshire Multi-tiered
4;RINGING;ONE_OF_BREEDING_PAIR;UNKNOWN;MISSING;IN_BOX_CAVITY;Row Idaho;Key;Intelligent bypassing;Borders generate;Human ivory;Universal array
5;MAINTENANCE;ONE_OF_BREEDING_PAIR;FEMALE;UNKNOWN;IN_BOX_CAVITY_THEN_LEFT;Indonesia;Planner back-end;application withdrawal Trafficway;Courts exploit;SSL auxiliary;orchid
6;MAINTENANCE;UNKNOWN;FEMALE;UNKNOWN;IN_BOX_CAVITY_WHEN_ACCESSING;copying Michigan;Fresh Chicken;Tanzania success;Illinois;Object-based;envisioneer Savings Account Rubber
7;EGG_CHECK;POTENTIAL_BREEDING_BIRD;JUVENILE;UNKNOWN;WITHIN_25M_OF_SITE;Unbranded;Markets streamline Rustic Soft Towels;Cambridgeshire exuding Norwegian Krone;Skyway Berkshire Kyat;Chips green Synergistic;connect Fresh
8;PRE_SEASON;UNKNOWN;FEMALE;UNKNOWN;WITHIN_50M_OF_SITE;Granite;e-enable;Refined Frozen Chips Solomon Islands Dollar;Clothing payment Credit Card Account;matrix Directives Jewelery;executive Checking Account Isle
9;PRE_SEASON;ONE_OF_BREEDING_PAIR;UNKNOWN;MISSING;IN_NEST_SITE_TREE;New Mexico Louisiana yellow;connecting Money Market Account;Handmade Rubber Computer;Hat;Keyboard Fantastic Cotton Chair;networks
10;WATCH;ONE_OF_BREEDING_PAIR;MALE;ASSUMED_DEAD;IN_BOX_CAVITY_THEN_LEFT;Health Soft;Congolese Franc;driver back-end;Quality Colorado;Metal SSL Unbranded;Grocery Personal Loan Account
