id;name;gps_latitude;gps_coordinate;location_name;description;add_date;update_date
1;Outdoors Infrastructure;Visionary analyzer Awesome;Human;sensor;capacitor mission-critical;2020-11-22;2020-11-22
2;Profit-focused Soap backing up;Soap;compressing matrix;Generic Concrete Computer;Small Wooden Tuna SSL;2020-11-23;2020-11-22
3;Incredible Tunnel Fantastic Granite Bike;withdrawal;Cotton Direct;circuit;Fantastic Buckinghamshire Officer;2020-11-23;2020-11-22
4;Indiana haptic;Tasty Manor;purple RAM Macedonia;Granite;Credit Card Account;2020-11-22;2020-11-22
5;Silver Division;Home Loan Account;navigating;intangible Licensed Rubber Soap Georgia;Personal Loan Account redefine;2020-11-22;2020-11-23
6;ADP;Designer best-of-breed Argentine Peso;support;auxiliary New Hampshire Avon;transmit solid state;2020-11-23;2020-11-22
7;infrastructures platforms Small;Internal;repurpose Agent invoice;hack Plastic transmitting;Small;2020-11-23;2020-11-22
8;moratorium Martinique;Grove Handcrafted Music;Shirt;Andorra Customer;Mouse Fresh deposit;2020-11-23;2020-11-23
9;Chief Isle methodology;Handcrafted;Plaza;Architect Falkland Islands (Malvinas);synthesize;2020-11-23;2020-11-22
10;synergies Persistent;alarm Ergonomic;index Auto Loan Account;regional Checking Account;Borders Principal;2020-11-22;2020-11-22
