id;number_people;purpose_of_visit;signs_of_use;nesting_substrate;maintenance_done;maintenance_required;comments
1;42301;EGG_CHECK;MUTES;Avon Dynamic;hub synthesizing Cambridgeshire;Tasty Generic Soft Bike Rubber;Benin Tasty Frozen Bacon
2;68021;HATCH_CHECK;RECENT_SCRAPE;Belize Dollar Fresh;Home utilize Ergonomic;Rustic Soft Soap Response Berkshire;Accounts Rustic
3;16834;OPPORTUNISTIC;SCRAPE;Engineer fault-tolerant;Shirt;Missouri;transmitting array
4;71054;OPPORTUNISTIC;MULTIPLE_SIGNS;Handmade Fresh Car Syrian Arab Republic Integration;Practical recontextualize;discrete Producer;Saint Martin
5;16603;EGG_CHECK;DOWN_FEATHERS;bandwidth bi-directional;virtual Mission;pink Switchable Dynamic;Fresh
6;65011;HATCH_CHECK;RECENT_SCRAPE;Minnesota;RAM Electronics;hack frame Plastic;Kentucky killer
7;64673;RINGING;SCRAPE_FLATTENED;Swiss Franc Gorgeous Soft Sausages;Sri Lanka Rupee;Pound Sterling Checking Account strategic;AGP
8;25104;PRE_SEASON;SCRAPE;lavender Awesome Rubber Sausages capacity;end-to-end Unbranded;Unbranded Rubber Gloves Avon Handcrafted Granite Fish;Garden
9;24183;IDENTIFYING_PAIR;DOWN_FEATHERS;deposit compress;back-end EXE AGP;Buckinghamshire;JSON Beauty
10;77599;RINGING;SCRAPE_FLATTENED;portal;Credit Card Account;back-end Business-focused;Bangladesh neural-net bypass
