id;struts;box_condition;bee_plastic;hatch;steps;handholds;tree_needs_replacing;box_needs_replacing;clearing;path;additional_visit;drill_required;site_description;bearing;side;tree_species;height;comments
1;GOOD;NEEDS_REPLACING_NEXT_SEASON;NEEDS_ADDING;ADDED_EYELETS;NEEDS_5;NEEDS_1;Frozen;Sausages;NEEDS_SOME_CLEARING;DONE;Computers flexibility;Quality Intelligent Plastic Chicken;NEEDS_DOING;copying Expanded;RIGHT;PRO_OBT;7151;connect
2;TEMPORARY_FIX_DONE;GOOD;NEEDS_ADDING;NEEDS_METAL_BAR;NEEDS_3;NEEDS_3;intuitive value-added synergistic;Outdoors Health;DONE;DONE;copy;synthesize paradigm Saint Kitts and Nevis;CHANGED;Chicken;RIGHT;PRO_SPP;77258;Tuna
3;NEEDS_REPLACING_END_OF_SEASON;NEEDS_REPLACING_NEXT_SEASON;NEEDS_ADDING;NEEDS_EYELETS;ADDED_1;ADDED_2;Computers;array Rustic Cotton Hat Home Loan Account;NEEDS_BIG_CLEARING;GOOD;UIC-Franc Assurance Egyptian Pound;leading-edge deliver unleash;ACCURATE;interactive Bridge Wyoming;RIGHT;PRO_OBT;9712;Corners
4;NEEDS_REPLACING_END_OF_SEASON;NEEDS_REPLACING_IMMEDIATELY;NEEDS_ADDING;GOOD;NEEDS_4;ADDED_1;Barbados Dollar directional quantifying;Program;DONE;DONE;Kroon CFA Franc BCEAO;mobile Automotive Licensed Metal Tuna;ACCURATE;internet solution;LEFT;SID_GRA;26019;Uruguay
5;GOOD;GOOD;NEEDS_ADDING;NEEDS_FILING;ADDED_1;ADDED_3;hacking Music Accountability;neural-net experiences out-of-the-box;NEEDS_BIG_CLEARING;NEEDS_TAGGING;backing up Cambridgeshire;withdrawal Alabama SMTP;NOT_GREAT;Wyoming Loop mobile;LEFT;MANGO;74550;Money Market Account generate Concrete
6;NEEDS_REPLACING_END_OF_SEASON;GOOD;NEEDS_ADDING;ADDED_EYELETS;ADDED_5;ADDED_3;bandwidth deposit;Decentralized;GOOD;NEEDS_SOME_CLEARING;mission-critical;B2B background Berkshire;CHANGED;Croatia Checking Account Keyboard;LEFT;CAN_PAN;17024;Cambridgeshire Fresh
7;NEEDS_REPLACING_END_OF_SEASON;NEEDS_FIXING;NEEDS_ADDING;ADDED_METAL_BAR;ADDED_5;ADDED_2;initiatives open-source Health;enhance connect;DONE;NEEDS_TAGGING;Prairie Netherlands Antilles Colorado;envisioneer navigate Computers;ACCURATE;Accountability Cape Verde Escudo;LEFT;DIO_TES;60914;deposit Spain Avon
8;NEEDS_REPLACING_END_OF_SEASON;NEEDS_FIXING;NEEDS_ADDING;GOOD;NEEDS_3;NEEDS_1;Sports turquoise;calculate Forge;GOOD;NEEDS_SOME_CLEARING;Georgia;compressing Hat;NEEDS_DOING;Fresh;RIGHT;SID_GRA;20196;monitoring Chief Designer
9;LONG_TERM_FIX_DONE;GOOD;NEEDS_ADDING;ADDED_EYELETS;NEEDS_1;NEEDS_3;red;transition Canadian Dollar Rufiyaa;NEEDS_BIG_CLEARING;NEEDS_BIG_CLEARING;port Gorgeous bluetooth;implement;NEEDS_DOING;proactive Rubber bus;RIGHT;CAS_ORI;25328;Berkshire Internal definition
10;NEEDS_REPLACING_END_OF_SEASON;NEEDS_REPLACING_NEXT_SEASON;NEEDS_ADDING;NEEDS_EYELETS;ADDED_1;NEEDS_2;Regional Hawaii Industrial;tertiary;NEEDS_BIG_CLEARING;NEEDS_SOME_CLEARING;parsing;blue open-source Gibraltar Pound;NOT_GREAT;Steel Practical redundant;RIGHT;MIM_MAX;94044;solid state
