id;nest_site;area;nest_type;year;month;date;observer;gps_latitude;gps_coordinate;location_name;add_date;update_date
1;MOUNT_CAMIZARD_2A;LE_VALLON;WHITE_RP_BOX;1739;14643;2020-11-22;Florida Home Loan Account;China Well;hard drive;one-to-one platforms;2020-11-23;2020-11-22
2;FERNEY_INGAM;LION_MOUNTAIN;TREE_CAVITY;63836;89137;2020-11-22;sticky;hack Computer Avon;cohesive invoice;strategic;2020-11-23;2020-11-22
3;DOMAINE_DU_CHASSEUR_OFFICE;LE_VALLON;WHITE_RP_BOX;84001;24791;2020-11-22;quantifying;East Caribbean Dollar;Shoes azure wireless;hacking Horizontal;2020-11-23;2020-11-22
4;FERNEY_9;FERNEY;WOODBOX;62310;99019;2020-11-23;Cambridgeshire Research;New Mexico;auxiliary;deposit bandwidth Persevering;2020-11-23;2020-11-22
5;RICHE_EN_EAU_11;RICHE_EN_EAU;TREE_CAVITY;4350;24266;2020-11-23;application;SAS;Wyoming South Dakota Generic;navigate Credit Card Account;2020-11-22;2020-11-22
6;DRAGONS_VIEW;LION_MOUNTAIN;WOODBOX;23052;27766;2020-11-22;virtual niches quantifying;South Carolina neural;Frozen Euro aggregate;Industrial USB system;2020-11-23;2020-11-22
7;CAT_AND_MOUSE;VALLEE_DE_LEST;BLACK_RP_BOX;62471;71939;2020-11-22;Junction Borders turquoise;clear-thinking;supply-chains;action-items Netherlands Antillian Guilder;2020-11-22;2020-11-23
8;FERNEY_12;FERNEY;WOODBOX;78475;88016;2020-11-22;harness Plastic white;Gorgeous Fresh Shirt Radial California;Handmade Steel Bacon capacity Sausages;Technician Islands Incredible Metal Car;2020-11-22;2020-11-23
9;RICHE_EN_EAU_13;DOMAINE_DU_CHASSEUR;BLACK_RP_BOX;69417;51799;2020-11-22;Kuwaiti Dinar;B2B;bottom-line Antigua and Barbuda;Intranet;2020-11-23;2020-11-23
10;FERNEY_5;FERNEY;BLACK_RP_BOX;21661;14812;2020-11-22;dot-com;Buckinghamshire;convergence AGP;CSS Rustic calculating;2020-11-23;2020-11-23
